word	type
ALT	3
AST	2
AVASTIN	2
CF	2
CTA	2
G-6-PD酶缺乏症	2
MRI	2
PET	2
PET-CT	2
PHC	2
WBC	2
γ-谷氨酰胺转移酶	2
三叉神经	2
三尖瓣	2
上呼吸道	2
上唇	2
上消化道造影	2
上矢状窦	2
上肢	2
上肢静脉造影	2
上肢骨	2
上背	2
上腔静脉	2
上臂	2
上颌窦	2
上颌骨	2
下丘脑	2
下唇	2
下消化道造影	2
下眼睑	2
下肢	2
下肢骨	2
下腔静脉	2
下腹痛	2
下颌下淋巴结	2
下颌下腺	2
下颌骨	2
下鼻甲	2
丙肝	2
两上肢	2
中位产钳术	2
中枢神经系统	2
中耳	2
中脑	2
中腹部	2
主动脉弓	2
主动脉瓣	2
乙状结肠	2
乙状结肠动脉	2
乙状结肠术后	2
乙状结肠癌姑息切除+近端乙状结肠造瘘+小肠部分切除吻合术	2
乙肝	2
乳头	2
乳头肌	2
乳房	2
乳晕	2
二尖瓣	2
二甲两胍	2
产伤性颅内出血	2
人工授精	2
会厌	2
侧脑室	2
便潜血	2
免疫系统	2
关节软骨	2
内耳	2
冠脉造影	2
前列腺	2
前庭神经	2
前纵隔	2
前臂	2
剑突	2
副神经	2
副脾	2
动眼神经	2
动脉	2
包皮	2
十二指肠	2
十二指肠溃疡	2
升结肠	2
华法林	2
卡培他滨	2
卡铂	2
卵巢	2
去甲肾上腺素	2
双侧	2
双肾盂	2
取出子宫内避孕装置	2
口咽	2
口底	2
口腔	2
口腔黏膜	2
右上侧切牙	2
右喉返神经	2
右锁骨下动脉	2
叶酸	2
后纵隔	2
听力检查	2
周围神经	2
周围神经系统	2
呼吸系统	2
呼吸道	2
呼吸道合胞病毒	2
咬肌	2
咽旁隙	2
喉部恶性肿瘤切除术	2
喉镜检查	2
嗅神经	2
四肢	2
回肠	2
圆锥角膜	2
坐骨神经	2
垂体	2
基底动脉	2
声带	2
声门	2
处女膜	2
外周血白细胞	2
外耳	2
外耳道	2
外阴	2
外阴皮肤	2
多关节	2
大便潜血	2
大涎腺	2
大肠	2
大脑	2
大脑前动脉	2
大脑半球	2
大脑大静脉	2
大脚趾	2
大腿	2
大阴唇	2
大隐静脉	2
头发	2
头孢	2
头皮	2
头臂干	2
头部	2
头静脉	2
头顶	2
头颅及胸部CT	2
头颈部	2
头颈部CTA	2
头骨	2
奥迪括约肌	2
婴儿期	2
子宫	2
子宫内膜	2
子宫动脉	2
子宫底	2
子宫肌瘤	2
子宫附件	2
子宫颈	2
宫腔镜检查	2
宫颈	3
宫颈深肌层	2
宫颈癌根治术+两附件切除术（II型全子宫切除术）	2
寰枢关节	2
小指	2
小肠	2
小脑	2
小脑半球	2
小腿	2
小阴唇	2
小隐静脉	2
尺侧腕屈肌	2
尺骨干	2
尺骨鹰嘴	2
尾部	2
尾骨	2
尿素	2
尿胆原	2
尿道	2
尿道括约肌	2
尿酮体	2
左侧	2
左侧足第3趾趾离断术+VSD置入术	2
左喉返神经	2
左肺中叶	2
巩膜	2
幕下	2
幽门下淋巴结	2
心内膜	2
心前区	2
心包	2
心外膜	2
心宝丸	2
心房	2
心电图	2
心肌	2
心脏	2
总胆汁酸	2
悬雍垂	2
扁桃体	2
手关节	2
手指	2
手指掌面	2
手掌	2
手背	2
手骨	2
拇指	2
指尖	2
指甲	2
指间关节	2
掌指关节	2
支气管	2
支气管扩张	2
文身	2
新型隐球菌	2
新生物	2
无名指	2
晶状体	2
松果体	2
枕叶	2
枕部	2
枢椎	2
根治性膀胱切除术+回肠原位新膀胱术	2
桡骨	2
桡骨头	2
桡骨茎突	2
椎动脉	2
椎管	2
椎间盘	2
横结肠	2
毛发	2
毛囊	2
气管	2
水肿	2
水蛭	2
泌尿生殖系统	2
泌尿系统	2
泪腺	2
海绵状血管瘤	2
海绵窦	2
海马	2
消化系统	2
淀粉酶	2
淋巴囊	2
深部	2
滑囊	2
滑膜炎	2
牙科检查	2
牙釉质	2
牙髓	2
牙龈	2
环状韧带	2
球结膜	2
生殖系统	2
甲状旁腺	2
甲状腺	2
甲状腺结节	2
白癜风	2
白细胞	3
白蛋白	2
皮下结节	2
皮肤	2
盆腔	2
盆腔CT	2
盆腔积液	2
盆腹腔	2
盗汗	2
盲肠	2
直肠	2
直肠下动脉	2
直肠癌根治	2
直肠癌根治术（DIXON术）	2
眉毛	2
真皮	2
眶下神经	2
眼检查	2
眼睑	2
眼神经	2
睑结膜	2
睫状体	2
睫状肌	2
睾丸	2
瞳孔	2
硬脊膜	2
硬脑膜	2
神经	2
神经根	2
神经组织	2
空肠	2
第三脑室	2
第四脑室	2
第四腰椎	2
筋膜	2
筛窦	2
精囊	2
精索	2
紫杉醇	2
红细胞	2
纵膈淋巴结	2
纵隔	2
纹状体	2
结缔组织	2
结肠	2
结肠癌根治术+放射性粒子置入术	2
结肠肝曲	2
结肠脾曲	2
维生素B12	2
羊膜镜检查	2
耳垂	2
耳廓	2
耳甲腔	2
耻骨	2
耻骨肌	2
肋软骨	2
肋间神经	2
肋骨	2
肌肉	2
肌肉组织	2
肘关节	2
肘窝	2
肛瘘	2
肛管	2
肛裂	2
肛门	2
肝内胆管	2
肝动脉	2
肝动脉造影	2
肝固有动脉	2
肝圆韧带	2
肝外胆管	2
肝总动脉	2
肝脏	2
肝脏超声造影	2
肝转移瘤	2
肝转移瘤切除+胆囊切除	2
肠	2
肠息肉	2
肠扩张	2
肠粘连	2
肠系膜	2
肠系膜上静脉	2
肠系膜下动脉	2
肠系膜淋巴结	2
肠胃	2
股动脉	2
股四头肌	2
股神经	2
股骨	2
股骨头	2
股骨干	2
股骨颈	2
肩关节	2
肩峰	2
肩胛下肌	2
肩胛骨	2
肱骨	2
肱骨外科颈	2
肱骨大结节	2
肱骨干	2
肺动脉	2
肺动脉栓塞	2
肺动脉瓣	2
肺叶	2
肺气肿	2
肺泡	2
肺炎支原体	2
肺炎衣原体	2
肺门	2
肺静脉	2
肾上腺	2
肾动脉	2
肾小球	2
肾小管	2
肾炎	2
肾盂	2
肾脏	2
肾门	2
胃体	2
胃出血	2
胃右动脉	2
胃小弯	2
胃小弯淋巴结	2
胃底	2
胃炎	2
"胃癌根治术\""（远端胃大部切除）"	2
胆囊	2
胆囊管	2
胆总管	2
胆石利通片	2
胆管炎	2
胆管造影	2
胆红素	2
胆道	2
胎儿镜检查	2
胎盘	2
胎膜	2
胫神经	2
胫骨	2
胫骨干	2
胰体	2
胰头	2
胰尾	2
胰管	2
胰腺	2
胰腺周淋巴结	2
胸主动脉	2
胸壁	2
胸大肌	2
胸导管	2
胸小肌	2
胸椎	2
胸肌	2
胸腔	2
胸腺	2
胸膜	2
胸膜腔	2
胸部X线检查	2
胸锁乳突肌	2
胸骨	2
胸骨柄	2
脉络膜	2
脉络膜新生血管	2
脊柱	2
脊椎	2
脊神经	2
脊髓	2
脊髓蛛网膜	2
脐	2
脐带	3
脑动脉	2
脑叶	2
脑室	2
脑干	2
脑桥	2
脑电图	2
脑神经	2
脑膜	2
脾动脉	2
脾门淋巴结	2
脾静脉	2
腓侧副韧带	2
腓动脉	2
腓总神经	2
腓骨	2
腔静脉	2
腕关节	2
腕背	2
腘动脉	2
腘窝	2
